question_id,type,chapter_slug,topic_slug,subtopic,stem,difficulty,skill,marks,neg_marks,est_time_sec,board_pattern,pyq_year,lang,status,source,parent_id,correct_option,answer_text,explanation,common_mistake,exam_focus,tags
CR-T1-011,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,The smallest whole-number coefficient of O₂ in the balanced equation C₂H₆ + O₂ → CO₂ + H₂O is:,3,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,B,7,2C₂H₆ + 7O₂ → 4CO₂ + 6H₂O. Fractional coefficient 7/2 is doubled to give whole numbers.,Leaving 7/2 as the coefficient.,board;NTSE;foundation,mcq;balancing equations
CR-T1-012,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"In the balanced equation 2KClO₃ → 2KCl + xO₂, the value of x is:",3,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,C,3,6 O atoms on the left need 3 O₂ on the right.,,board;NTSE;foundation,mcq;balancing equations
CR-T1-013,mcq,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,Which of the following is a chemical change?,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Souring of milk,"Souring forms lactic acid, a new substance.",,board,mcq;identifying chemical reactions
CR-T1-014,mcq,chemical-reactions-and-equations,chemical-equations-balancing,State symbols and conditions,"In a chemical equation, a downward arrow (↓) written after a product indicates that the product is:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,An insoluble solid (precipitate),↓ marks a precipitate and ↑ marks a gas.,,board,mcq;state symbols and conditions
CR-T1-015,assertion_reason,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"Assertion (A): A chemical equation must be balanced.
Reason (R): Mass can neither be created nor destroyed in a chemical reaction.",1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,R is the law that A follows from.,,board,assertion_reason;balancing equations
CR-T1-016,assertion_reason,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"Assertion (A): A skeletal equation can be balanced by changing the subscripts of the formulae.
Reason (R): Balancing requires the same number of atoms of each element on both sides.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,D,A is false but R is true.,"Only coefficients can be changed, so A is false. R is true.",,board;NTSE;foundation,assertion_reason;balancing equations
CR-T1-017,assertion_reason,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,"Assertion (A): Evolution of a gas always indicates a chemical reaction.
Reason (R): Boiling of water also produces a gas (steam).",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,D,A is false but R is true.,"Boiling is physical, so A is false. R is true.",,board;NTSE;foundation,assertion_reason;identifying chemical reactions
CR-T1-018,statement,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,"Consider the statements:
I. A balanced equation has the same number of atoms of each element on both sides.
II. Balancing is done by changing the subscripts of the formulae.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Only I is correct,"Balancing changes coefficients, not subscripts.",,board,statement;balancing equations
CR-T1-019,statement,chemical-reactions-and-equations,chemical-equations-balancing,State symbols and conditions,"Consider the statements:
I. (aq) shows that a substance is dissolved in water.
II. ↑ shows that a gas is evolved and ↓ shows that a precipitate is formed.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Both I and II are correct,Both are standard symbols.,,board,statement;state symbols and conditions
CR-T1-020,match,chemical-reactions-and-equations,chemical-equations-balancing,State symbols and conditions,"Match the state symbol with its meaning.
Column I:
1. (s)
2. (l)
3. (g)
4. (aq)
Column II:
P. Liquid
Q. Solid
R. Aqueous solution
S. Gas",2,recall,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,A,"1-Q, 2-P, 3-S, 4-R","s = solid, l = liquid, g = gas, aq = aqueous.",,board,match;state symbols and conditions
CR-T1-021,case_based,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,The brown fumes evolved are of:,1,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T1-01,D,Nitrogen dioxide,NO₂ is brown.,,board,case_based;identifying chemical reactions
CR-T1-022,case_based,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,The yellow solid left in the tube is:,1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T1-01,D,Lead monoxide (PbO),PbO is the yellow residue.,,board,case_based;identifying chemical reactions
CR-T1-023,case_based,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,Heating lead nitrate is an example of:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T1-01,A,Thermal decomposition,One reactant breaks down on heating.,,board,case_based;identifying chemical reactions
CR-T1-024,fill_blank,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Chemical equations are balanced because of the law of ____ of mass.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,conservation,Law of conservation of mass.,,board,fill_blank;balancing equations
CR-T1-025,fill_blank,chemical-reactions-and-equations,chemical-equations-balancing,State symbols and conditions,The symbol written after a substance to show that it is dissolved in water is ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,(aq)|aq,aq = aqueous.,,board,fill_blank;state symbols and conditions
CR-T1-026,fill_blank,chemical-reactions-and-equations,chemical-equations-balancing,State symbols and conditions,The state symbol for a gas is ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,(g)|g,g = gas.,,board,fill_blank;state symbols and conditions
CR-T1-027,equation,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Balance the equation: Al + O₂ → Al₂O₃,2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,4Al + 3O₂ → 2Al₂O₃,"Accept coefficients 4, 3, 2 only.",,board,equation;balancing equations
CR-T1-028,equation,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Balance the equation: N₂ + H₂ → NH₃,2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,N₂ + 3H₂ → 2NH₃,"Accept coefficients 1, 3, 2.",,board,equation;balancing equations
CR-T1-029,equation,chemical-reactions-and-equations,chemical-equations-balancing,State symbols and conditions,Iron reacts with steam. Write the balanced equation with state symbols: Fe + H₂O → Fe₃O₄ + H₂,3,application,2,0,105,CBSE/SEBA,,en,draft,AI-original (needs review),,,3Fe(s) + 4H₂O(g) → Fe₃O₄(s) + 4H₂(g),"1 mark for correct balancing, 1 mark for state symbols.",,board;NTSE;foundation,equation;state symbols and conditions
CR-T1-030,short,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Why should a chemical equation be balanced?,2,recall,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,To obey the law of conservation of mass (1). The total number of atoms of each element must be equal on both sides because matter is neither created nor destroyed (1).,,,board,short;balancing equations
CR-T1-031,short,chemical-reactions-and-equations,chemical-equations-balancing,Writing equations,Differentiate between a skeletal chemical equation and a balanced chemical equation.,2,recall,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,A skeletal equation shows reactants and products with formulae but without equal numbers of atoms (1). A balanced equation has equal numbers of atoms of each element on both sides (1).,,,board,short;writing equations
CR-T1-032,short,chemical-reactions-and-equations,chemical-equations-balancing,Balancing equations,Balance Fe + H₂O → Fe₃O₄ + H₂ by the hit-and-trial method and show the steps.,2,application,3,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Write the skeletal equation (1). Balance O by 4H₂O (0.5). Balance H by 4H₂ (0.5). Balance Fe by 3Fe (0.5). Check atoms: 3 Fe, 8 H, 4 O on both sides (0.5).",,,board,short;balancing equations
CR-T1-033,long,chemical-reactions-and-equations,chemical-equations-balancing,Identifying chemical reactions,"What is a chemical equation? State four observations that indicate a chemical reaction with one example of each, and explain why equations must be balanced.",3,reasoning,5,0,315,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Chemical equation: symbolic representation of a reaction (1). Any four: change of state, change of colour, evolution of gas, change of temperature, formation of precipitate, with an example each (2). Balancing: law of conservation of mass, equal atoms on both sides, coefficients not subscripts (2).",,,board;NTSE;foundation,long;identifying chemical reactions
CR-T2-001,mcq,chemical-reactions-and-equations,combination-decomposition,Combination,CaO + H₂O → Ca(OH)₂ + heat is an example of:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,A combination reaction,Two reactants combine to give one product.,,board,mcq;combination
CR-T2-002,mcq,chemical-reactions-and-equations,combination-decomposition,Combination,The white powder formed on burning magnesium ribbon in air is:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Magnesium oxide,2Mg + O₂ → 2MgO.,,board,mcq;combination
CR-T2-003,mcq,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,Thermal decomposition of calcium carbonate gives:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Calcium oxide and carbon dioxide,CaCO₃ → CaO + CO₂.,,board,mcq;thermal decomposition
CR-T2-004,mcq,chemical-reactions-and-equations,combination-decomposition,Electrolytic decomposition,Which of the following is an example of electrolytic decomposition?,2,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,2H₂O → 2H₂ + O₂ (electric current passed),Electric current is the energy source in electrolytic decomposition.,,board,mcq;electrolytic decomposition
CR-T2-005,mcq,chemical-reactions-and-equations,combination-decomposition,Electrolytic decomposition,"In the electrolysis of water, the ratio of the volumes of hydrogen to oxygen collected is:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,2 : 1,"Water is H₂O, giving twice as many H₂ molecules as O₂ molecules.",,board,mcq;electrolytic decomposition
CR-T2-006,mcq,chemical-reactions-and-equations,combination-decomposition,Photolytic decomposition,White silver chloride turns which colour on exposure to sunlight?,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Grey,"Silver metal is formed, giving a grey colour.",,board,mcq;photolytic decomposition
CR-T2-007,mcq,chemical-reactions-and-equations,combination-decomposition,Combination,Slaked lime is:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Calcium hydroxide,"Quicklime is CaO, and slaked lime is Ca(OH)₂.",Confusing quicklime and slaked lime.,board,mcq;combination
CR-T2-008,mcq,chemical-reactions-and-equations,combination-decomposition,Combination,Which of the following is NOT a combination reaction?,1,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,CaCO₃ → CaO + CO₂,One reactant breaking into two products is decomposition.,Calling thermal decomposition a combination reaction.,board,mcq;combination
CR-T2-009,mcq,chemical-reactions-and-equations,combination-decomposition,Combination,The shiny finish on whitewashed walls after 2–3 days is due to the formation of:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Calcium carbonate,Ca(OH)₂ + CO₂ → CaCO₃ + H₂O.,,board,mcq;combination
CR-T2-010,mcq,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,"On heating 2 moles of lead nitrate, how many moles of gaseous products (NO₂ and O₂ together) are formed?",3,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,B,5,2Pb(NO₃)₂ → 2PbO + 4NO₂ + O₂ gives 4 + 1 = 5 moles of gas.,,board;NTSE;foundation,mcq;thermal decomposition
CR-T2-011,mcq,chemical-reactions-and-equations,combination-decomposition,Photolytic decomposition,Which of the following reactions is carried out using light energy?,2,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,2AgBr → 2Ag + Br₂,"Silver halides decompose in sunlight, which is used in black-and-white photography.",,board,mcq;photolytic decomposition
CR-T2-012,assertion_reason,chemical-reactions-and-equations,combination-decomposition,Combination,"Assertion (A): Burning of magnesium ribbon in air is a combination reaction.
Reason (R): Magnesium combines with oxygen to form magnesium oxide.",1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,Two reactants form one product.,,board,assertion_reason;combination
CR-T2-013,assertion_reason,chemical-reactions-and-equations,combination-decomposition,Electrolytic decomposition,"Assertion (A): Electrolysis of water gives hydrogen and oxygen.
Reason (R): Hydrogen and oxygen combine to form water.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Both A and R are true but R is not the correct explanation of A.,"Both are true, but R does not explain why water splits on electrolysis.",,board;NTSE;foundation,assertion_reason;electrolytic decomposition
CR-T2-014,assertion_reason,chemical-reactions-and-equations,combination-decomposition,Photolytic decomposition,"Assertion (A): Silver chloride is stored in dark-coloured bottles.
Reason (R): Silver chloride decomposes in the presence of sunlight.",2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,Dark bottles block light and prevent decomposition.,,board,assertion_reason;photolytic decomposition
CR-T2-015,statement,chemical-reactions-and-equations,combination-decomposition,Combination,"Consider the statements:
I. In a combination reaction, two or more reactants form a single product.
II. In a decomposition reaction, a single reactant breaks down into two or more simpler products.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Both I and II are correct,Both definitions are correct.,,board,statement;combination
CR-T2-016,statement,chemical-reactions-and-equations,combination-decomposition,Electrolytic decomposition,"Consider the statements:
I. Photolytic decomposition of silver chloride requires light.
II. Electrolytic decomposition of water is carried out by passing heat only.",2,application,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Only I is correct,Electrolysis needs electric current.,,board,statement;electrolytic decomposition
CR-T2-017,match,chemical-reactions-and-equations,combination-decomposition,Combination,"Match the reaction with its type.
Column I:
1. CaO + H₂O → Ca(OH)₂
2. 2H₂O → 2H₂ + O₂ (electric current)
3. 2AgBr → 2Ag + Br₂ (sunlight)
4. CaCO₃ → CaO + CO₂ (heat)
Column II:
P. Electrolytic decomposition
Q. Combination
R. Photolytic decomposition
S. Thermal decomposition",2,application,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,B,"1-Q, 2-P, 3-R, 4-S",Match by the form of energy used.,,board,match;combination
CR-T2-018,case_based,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,This reaction is an example of:,1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T2-01,A,Thermal decomposition,Heat breaks down a single compound.,,board,case_based;thermal decomposition
CR-T2-019,case_based,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,The gases responsible for the smell of burning sulphur are:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T2-01,A,SO₂ and SO₃,2FeSO₄ → Fe₂O₃ + SO₂ + SO₃.,,board,case_based;thermal decomposition
CR-T2-020,case_based,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,The solid residue left in the tube is:,2,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),CP-T2-01,B,"Ferric oxide (Fe₂O₃), reddish-brown",Fe₂O₃ is the reddish-brown residue.,,board,case_based;thermal decomposition
CR-T2-021,fill_blank,chemical-reactions-and-equations,combination-decomposition,Photolytic decomposition,The decomposition of silver chloride in the presence of sunlight is called ____ decomposition.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,photolytic,Light is the energy source.,,board,fill_blank;photolytic decomposition
CR-T2-022,fill_blank,chemical-reactions-and-equations,combination-decomposition,Combination,Quicklime is chemically known as ____.,1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,calcium oxide|CaO,Formula CaO.,,board,fill_blank;combination
CR-T2-023,fill_blank,chemical-reactions-and-equations,combination-decomposition,Electrolytic decomposition,"In the electrolysis of water, the gas collected at the cathode is ____.",1,recall,1,0,30,CBSE/SEBA,,en,draft,AI-original (needs review),,,hydrogen|H₂,H₂ is released at the negative electrode.,,board,fill_blank;electrolytic decomposition
CR-T2-024,equation,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,"Write the balanced equation, with state symbols, for the thermal decomposition of calcium carbonate.",2,recall,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,CaCO₃(s) → CaO(s) + CO₂(g),"1 mark balanced, 1 mark state symbols. Heat above the arrow.",,board,equation;thermal decomposition
CR-T2-025,equation,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,Write the balanced equation for the decomposition of ferrous sulphate on heating.,2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,2FeSO₄(s) → Fe₂O₃(s) + SO₂(g) + SO₃(g),Coefficient 2 on FeSO₄ is required.,,board,equation;thermal decomposition
CR-T2-026,equation,chemical-reactions-and-equations,combination-decomposition,Combination,Write the balanced equation for the reaction of quicklime with water and state whether heat is released or absorbed.,2,application,2,0,90,CBSE/SEBA,,en,draft,AI-original (needs review),,,CaO(s) + H₂O(l) → Ca(OH)₂(aq) + heat. Heat is released (exothermic).,"1 mark equation, 1 mark heat released.",,board,equation;combination
CR-T2-027,short,chemical-reactions-and-equations,combination-decomposition,Combination,Why are decomposition reactions called the opposite of combination reactions? Give one equation each.,2,recall,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,"In combination, two or more substances form one; in decomposition, one substance breaks into two or more (1). Example: CaO + H₂O → Ca(OH)₂ and CaCO₃ → CaO + CO₂ (1).",,,board,short;combination
CR-T2-028,short,chemical-reactions-and-equations,combination-decomposition,Photolytic decomposition,Why is silver chloride stored in dark-coloured bottles? Write the equation.,2,application,2,0,120,CBSE/SEBA,,en,draft,AI-original (needs review),,,Silver chloride decomposes in sunlight (1). 2AgCl → 2Ag + Cl₂ (1). Dark bottles block light.,,,board,short;photolytic decomposition
CR-T2-029,long,chemical-reactions-and-equations,combination-decomposition,Thermal decomposition,"Explain thermal, electrolytic and photolytic decomposition with one balanced equation each, and mention one observation or use for each.",3,application,5,0,315,CBSE/SEBA,,en,draft,AI-original (needs review),,,"Thermal: CaCO₃ → CaO + CO₂ (heat). Electrolytic: 2H₂O → 2H₂ + O₂ (electric current, 2:1 volume ratio). Photolytic: 2AgCl → 2Ag + Cl₂ (sunlight, white to grey, used in photography). 1 mark for each type with equation, 1 mark for the observations or uses.",,,board;NTSE;foundation,long;thermal decomposition
CR-T3-001,mcq,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"When an iron nail is dipped in copper sulphate solution, the blue colour of the solution changes to:",1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Light green,"Ferrous sulphate is formed, which is light green.",,board,mcq;displacement
CR-T3-002,mcq,chemical-reactions-and-equations,displacement-double-displacement,Displacement,The reddish-brown deposit on an iron nail dipped in copper sulphate solution is:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Copper,Iron displaces copper from its salt solution.,,board,mcq;displacement
CR-T3-003,mcq,chemical-reactions-and-equations,displacement-double-displacement,Displacement,Fe + CuSO₄ → FeSO₄ + Cu is an example of a:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Displacement reaction,A more reactive element replaces a less reactive one.,,board,mcq;displacement
CR-T3-004,mcq,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,Silver nitrate reacts with sodium chloride to form a white curdy precipitate of:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Silver chloride,AgNO₃ + NaCl → AgCl + NaNO₃.,,board,mcq;precipitation
CR-T3-005,mcq,chemical-reactions-and-equations,displacement-double-displacement,Displacement,Which of the following metals will NOT displace copper from copper sulphate solution?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Silver,Silver is less reactive than copper.,,board,mcq;displacement
CR-T3-006,mcq,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,Which of the following is a double displacement reaction?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,A,AgNO₃ + NaCl → AgCl + NaNO₃,Ions are exchanged between two compounds.,,board,mcq;double displacement
CR-T3-007,mcq,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,The yellow precipitate formed on mixing lead nitrate and potassium iodide solutions is:,1,recall,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Lead iodide,Pb(NO₃)₂ + 2KI → PbI₂ + 2KNO₃.,,board,mcq;precipitation
CR-T3-008,mcq,chemical-reactions-and-equations,displacement-double-displacement,Neutralisation,HCl + NaOH → NaCl + H₂O is best classified as:,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Neutralisation (a double displacement reaction),An acid and a base give salt and water by exchange of ions.,,board,mcq;neutralisation
CR-T3-009,mcq,chemical-reactions-and-equations,displacement-double-displacement,Displacement,Which of the following pairs will react?,2,application,1,0,45,CBSE/SEBA,,en,draft,AI-original (needs review),,D,Zn + CuSO₄,Zinc is more reactive than copper. The other pairs have a less reactive metal with a more reactive metal's salt.,,board,mcq;displacement
CR-T3-010,mcq,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,"In the balanced equation BaCl₂ + Al₂(SO₄)₃ → BaSO₄ + AlCl₃, the coefficient of AlCl₃ is:",3,application,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,C,2,3BaCl₂ + Al₂(SO₄)₃ → 3BaSO₄ + 2AlCl₃.,,board;NTSE;foundation,mcq;double displacement
CR-T3-011,mcq,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"When zinc granules are added to blue copper sulphate solution, the blue colour fades because:",3,reasoning,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Cu²⁺ ions are converted into copper metal,"Zn displaces Cu, so blue Cu²⁺ ions decrease and colourless Zn²⁺ ions form.",,board;NTSE;foundation,mcq;displacement
CR-T3-012,assertion_reason,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"Assertion (A): An iron nail dipped in copper sulphate solution gets a brownish coating.
Reason (R): Iron is more reactive than copper and displaces it from its salt solution.",1,recall,1,0,60,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,R explains A.,,board,assertion_reason;displacement
CR-T3-013,assertion_reason,chemical-reactions-and-equations,displacement-double-displacement,Double displacement,"Assertion (A): The reaction between BaCl₂ and Na₂SO₄ is a double displacement reaction.
Reason (R): Ions are exchanged between the two reactants.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,A,Both A and R are true and R is the correct explanation of A.,Ba²⁺ and Na⁺ swap partners.,,board;NTSE;foundation,assertion_reason;double displacement
CR-T3-014,assertion_reason,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"Assertion (A): Silver metal displaces copper from copper sulphate solution.
Reason (R): Silver is less reactive than copper.",3,reasoning,1,0,75,CBSE/SEBA,,en,draft,AI-original (needs review),,D,A is false but R is true.,A is false because silver is less reactive. R is true.,,board;NTSE;foundation,assertion_reason;displacement
CR-T3-015,statement,chemical-reactions-and-equations,displacement-double-displacement,Displacement,"Consider the statements:
I. In a displacement reaction, a more reactive element displaces a less reactive element from its compound.
II. In a double displacement reaction, ions are exchanged between two compounds.",1,recall,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,C,Both I and II are correct,Both are correct.,,board,statement;displacement
CR-T3-016,statement,chemical-reactions-and-equations,displacement-double-displacement,Precipitation,"Consider the statements:
I. All double displacement reactions form a precipitate.
II. Neutralisation is a type of double displacement reaction.",2,application,1,0,50,CBSE/SEBA,,en,draft,AI-original (needs review),,B,Only II is correct,"Neutralisation forms salt and water, not a precipitate.",Assuming all double displacement reactions form precipitates.,board,statement;precipitation
